instructor,avg_gpa
WILLOUGHBY-HERARD.,3.35625
"MALONE, M.",3.915
"EGAN, J.",2.761195652173913
"VOGEL, E.",3.39
"DOUGLAS, T.",3.5414035087719298
"REA, S.",3.63
"COFFMAN, C.",3.5499999999999994
"LI, J.",3.31
"CHAVEZ, L.",2.9961111111111114
"GOMEZ, R.",3.432
"INGROFF, D.",3.815
"ULRICH, M.",4.0
"GARREN, S.",3.62
"VEGA, J.",3.8378125
"PHILLIPS, C.",3.75
"KRYCZKA, A.",3.47
"VILLEGAS, M.",3.435
"SHROFF, B.",3.7582499999999994
"SYMANSKI, R.",2.786363636363636
"DADA, J.",3.6533333333333338
"LIN, S.",3.6744444444444446
"CAMERINI, D.",3.341428571428571
"NICHOLAS, A.",3.513157894736842
"LIMON-RUIZ, A.",3.5949999999999998
"AZAB, M.",2.54
"WILLIAMS, A.",3.5178571428571423
"BURLEY, N.",3.1924137931034484
"LOUDON, C.",3.648039215686274
"PATE, K.",2.52
"OCHOA, R.",2.9099999999999997
"MORGADO FLORES, P.",2.5733333333333333
"TAAGEPERA, S.",3.0025000000000004
"CHO, K.",2.971111111111111
"ROSE, M.",3.832027027027028
"MCHENRY, M.",3.04
"LIOUDYNO, M.",2.891111111111111
"MATTSON, M.",3.205
"AGUILAR-ROCA, N.",3.426992481203007
"SLAY, C.",3.575
"HEINRICH, E.",3.175
"DVORKIN, N.",3.1374999999999997
"OVERSTREET, C.",2.8314705882352946
"JHA, N.",3.545967741935484
"WIIG, J.",3.26
"PIRINO, G.",2.95
"SANTOS, R.",3.313333333333334
"BRADLEY, T.",3.0799999999999996
"CAHILL, L.",3.1224000000000007
"BREWER, A.",3.546666666666667
"SHAFFER, J.",2.7296153846153848
"BOWLER, P.",3.433372093023256
"WYNNE, D.",3.52
"MIRBOLOOKI, M.",2.93
"MAUNG, K.",2.6533333333333338
"SAVAS, T.",3.4225
"SHAKA, A.",3.6578571428571434
"ARASASINGHAM, R.",2.6475
"POTMA, E.",2.8514999999999997
"BRINDLEY, A.",3.0799999999999987
"EDWARDS, K.",3.1077878513145967
"ALSHAWA, A.",3.465
"FREITES, J.",2.9730769230769236
"LINK, R.",3.1165879017013234
"TAY, G.",2.8383333333333334
"KOTYK, C.",2.5
"KING, S.",3.179213483146068
"WAGNER, A.",2.48
"VAN VRANKEN, D.",2.873
"ROSAS, A.",3.321111111111111
"DESIPIO, L.",2.8864583333333336
"TORRES, R.",3.792549019607843
"DUNCAN, R.",3.1801526717557254
"VIGIL, J.",3.1073333333333326
"MASSOUD, E.",3.3433333333333333
"SUN, L.",2.7185999999999995
"ZAREIAN, F.",2.4883098591549304
"KARANIKA, A.",3.5089999999999995
"GIANNOPOULOU, Z.",3.357
"BATTON, K.",3.375
"CONES, C.",3.6479999999999997
"HECKHAUSEN, J.",2.6505882352941175
"HAGEDORN, J.",3.2281111111111107
"DEAN, T.",2.71
"BERG, B.",3.1340909090909084
"TAN, A.",2.255
"KISLYUK, D.",2.66
"MANN, D.",2.815
"SHANE, J.",2.795
"ZINGER, J.",3.217169811320754
"LOFGREN, C.",3.0154887218045108
"NEGEN, J.",3.55
"BATCHELDER, W.",2.773076923076923
"HOLMAN, B.",3.27
"THORSEN, K.",2.935
"BOOKER, K.",3.16
"HERRERA ORTIZ, C.",3.065
"GROSSMAN, E.",3.518333333333333
"PONTELL, H.",3.1062162162162164
"BEAUCHAMP, T.",3.27
"ALFARO, S.",3.260374999999999
"BIC, L.",3.210666666666667
"HARRIS, I.",3.4015463917525777
"SCHERSON, I.",3.148181818181818
"BOZORGZADEH, E.",3.2050000000000005
"HIRSCHBERG, D.",2.5275
"DANG, Q.",3.3796875
"BAGHERZADEH, N.",2.538666666666667
"CHEN, W.",2.8895000000000004
"DALTON, T.",3.4797222222222226
"SCOTT, D.",2.82
"PETERSEN, N.",3.39
"BURTON, B.",3.11
"NULL, C.",3.34
"SCHUMANN, T.",2.88
"FLESOCK, M.",2.7750000000000004
"BRENNANKANE, L.",3.56
"ANTONY, R.",3.01
"PATIHIS, L.",3.51
"LIVINGSTON, L.",3.967241379310345
"COREY, M.",3.1999999999999997
"TERRICCIANO, A.",3.6706
"KHALILI, S.",3.876666666666667
"TIWARI, A.",3.421875
"WILLIAMS, J.",3.966666666666667
"HILL, D.",3.955864661654135
"BATISTA, B.",3.44
"SOLANDER, K.",2.66
"COPPOLA, A.",2.65
"HAFFKE, C.",2.88
"LUPASCU, M.",2.16
"LIU, S.",3.55
"CONTE, J.",3.2325
"SARRAF, G.",2.935454545454545
"RAHMAN, M.",3.26
"JARVIS, J.",2.825
"SHIREY, P.",2.9784090909090906
"SACKS, M.",3.0866666666666664
"BRANCH, W.",3.11566037735849
"RODRIGUEZ LOPEZ, J.",3.3595744680851065
"MARI, R.",2.8709090909090915
"TOUKAN, A.",2.4908333333333332
"AGGARWAL, N.",3.1266666666666665
"STROIK, P.",2.81
"SAFARZADEH, M.",2.9185714285714286
"SOHRABIAN, A.",2.8976470588235292
"KRONEWETTER, J.",2.73679012345679
"GILMORE, S.",3.326136363636364
"BRESNOCK, A.",2.57
"JENKINS, B.",3.3247727272727277
"VU, V.",3.155849056603774
"LONG, J.",3.6966666666666668
"LIN, J.",3.4736363636363636
"SENGUPTA-IRVING, T.",3.5980000000000003
"DOEMER, R.",3.147777777777778
"LEE, C.",3.0834782608695654
"BOYRAZ, O.",3.1820634920634925
"GUST, M.",2.56
"DUNN-RANKIN, D.",3.7821052631578946
"FORESTA, J.",3.6033333333333326
"BACH, S.",2.9197849462365593
