name,department,school,take_again,difficulty,avg_gpa,Clear grading criteria,Respected,Get ready to read,Skip class? You won't pass.,Tough grader,Accessible outside class,Graded by few things,Lecture heavy,Test heavy,Inspirational,Amazing lectures,Caring,Gives good feedback,Participation matters,Hilarious,Lots of homework,rating,score,total_tags
"KRUMPER, J.",Chemistry,UC Irvine,100,3.0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.3641973,0
"RODGERS, K.",Computer Science,UC Irvine,100,5.0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.3446827,0
"YOUSSEFPOUR, H.",Mathematics,UC Irvine,92,3.9,2.6090625000000003,5,6,0,0,4,3,0,5,0,0,0,3,0,0,3,0,5.3,5.3011556,29
"YOUSEFI, M.",Political Science,UC Irvine,100,2.0,3.6033333333333335,3,0,0,0,0,0,0,0,0,3,0,0,4,4,0,0,5.0,5.1825957,14
"DUONG, S.",Mathematics,UC Irvine,,1.3,2.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,5.1545625,0
"MANIAR, R.",Foreign Languages,UC Irvine,100,2.8,3.661935483870968,0,3,0,0,0,0,0,0,0,0,0,5,0,3,0,0,4.6,5.1359615,11
"SMITH, J.",Languages,UC Irvine,100,2.3,3.605128205128205,4,0,6,0,0,0,0,0,0,3,3,0,4,0,0,0,4.1,5.128323,20
"BROADBENT, P.",Humanities,UC Irvine,100,2.9,3.4818181818181824,4,4,0,0,0,4,0,0,0,6,0,0,13,8,10,0,5.1,5.1278944,49
"TRESEDER, K.",Ecology & Evolutionary Biology,UC Irvine,100,1.5,3.595,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4.8,5.1170173,9
"ROSENDAHL, C.",Writing,UC Irvine,100,3.0,3.647777777777778,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,5.0,5.089735,7
"WOOD, A.",Writing,UC Irvine,100,4.0,3.1933333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.086808,0
"SENATRO, L.",English,UC Irvine,100,3.0,3.538,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5.0,5.08516,9
"TENER, A.",Academic Services,UC Irvine,100,1.3,2.52,0,5,0,0,0,0,0,0,0,3,0,5,4,0,0,0,5.0,5.0834274,17
"COX, A.",Comparative Literature,UC Irvine,100,2.0,3.667142857142857,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5.0,5.0717726,6
"BALDWIN, M.",Computer Science,UC Irvine,100,3.4,3.511538461538461,0,4,0,0,0,9,5,0,0,0,3,8,5,0,6,0,5.0,5.0694675,40
"ROSS-HO, A.",Art,UC Irvine,100,3.0,3.940625,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5.0,5.0615005,3
