name,department,school,tags,rating,take_again,difficulty,avg_gpa
"CAMPBELL, M.",Mathematics,UC Irvine,"{'Clear grading criteria': 2, 'Get ready to read': 2, 'TEST HEAVY': 1, 'Test heavy': 1, 'Tough Grader': 1, 'Tough grader': 1}",3.1,0,3.3,2.234
"MILES, M.",Art History,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Clear grading criteria': 3, 'Get ready to read': 1, 'LECTURE HEAVY': 2, 'Lecture heavy': 1, 'Respected': 6, ""Skip class? You won't pass."": 2, 'TEST HEAVY': 1}",4.3,80,3.1,3.140625
"GLAZER, A.",Economics,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Caring': 1, 'EXTRA CREDIT': 1, 'GRADED BY FEW THINGS': 1, 'Get ready to read': 4, 'Gives good feedback': 1, 'Graded by few things': 2, 'Hilarious': 1, 'Lecture heavy': 2, 'Lots of homework': 1, ""Skip class? You won't pass."": 4, 'TEST HEAVY': 1, 'Test heavy': 2, 'Tough Grader': 1, 'Tough grader': 3}",2.3,0,3.4,3.367142857142858
"MOLZON, W.",Science,UC Irvine,"{'Accessible outside class': 3, 'Get ready to read': 5, 'Graded by few things': 6, 'Hilarious': 1, 'Lecture heavy': 5, 'Lots of homework': 2, 'Participation matters': 1, ""Skip class? You won't pass."": 3, 'Test heavy': 6, 'Tough grader': 4}",2.1,10,4.0,2.9145762711864407
"CASTELLANOS, J.",Social Science,UC Irvine,"{'Amazing lectures': 2, 'Amazing lectures ': 1, 'Get ready to read': 7, 'Inspirational': 4, 'LECTURE HEAVY': 1, 'LOTS OF HOMEWORK': 1, 'Lecture heavy': 1, 'Participation matters': 1, 'Respected': 3, ""Skip class? You won't pass."": 1, 'TEST HEAVY': 2}",3.6,58,3.0,3.357058823529412
"DOMBRINK, J.",Criminal Justice,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Caring': 1, 'Clear grading criteria': 2, 'GRADED BY FEW THINGS': 2, 'Get ready to read': 2, 'Hilarious': 1, 'Inspirational': 1, 'LECTURE HEAVY': 2, 'Lecture heavy': 1, 'Participation matters': 1, 'Respected': 3, 'TEST HEAVY': 1, 'Would take again': 1}",3.6,63,2.7,3.746486486486487
"STUPAR, J.",Engineering,UC Irvine,"{'Caring': 1, 'Gives good feedback': 1, 'Tough grader': 1}",4.8,N/,1.6,3.464782608695653
"TOPIK, S.",History,UC Irvine,"{'EXTRA CREDIT': 1, 'Get ready to read': 2, 'Gives good feedback': 1, 'Participation matters': 2, ""Skip class? You won't pass."": 2}",3.7,0,2.8,2.8600000000000003
"SOBEL, H.",Physics,UC Irvine,"{'Get ready to read': 1, 'Lots of homework': 1, ""Skip class? You won't pass."": 1, 'Tests are tough': 1, 'Tough grader': 1}",3.6,N/,3.4,2.475
"LIN, K.",Engineering,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 2, 'Accessible outside class': 1, 'Amazing lectures': 1, 'Clear grading criteria': 1, 'Graded by few things': 3, 'Hilarious': 1, 'LECTURE HEAVY': 1, 'LOTS OF HOMEWORK': 2, 'Lecture heavy': 2, 'Lots of homework': 2, ""Skip class? You won't pass."": 1, 'Test heavy': 4}",3.1,17,3.2,3.033
"PETRACCA, M.",Political Science,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Get ready to read': 2, 'LECTURE HEAVY': 2, 'Lecture heavy': 1, 'Participation matters': 1, 'SO MANY PAPERS': 1, 'Tough Grader': 1, 'Would take again': 1}",2.9,50,3.5,3.485357142857143
"NOVIELLO, N.",Social Science,UC Irvine,"{'Caring': 1, 'Clear grading criteria': 1, 'Get ready to read': 1, 'Hilarious': 1, 'Would take again': 1}",3.0,N/,1.9,2.473333333333333
"JESILOW, P.","Criminology, Law & Society",UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Caring': 1, 'Get ready to read': 2, 'Hilarious': 1, 'Participation matters': 1, 'SO MANY PAPERS': 1, 'Tough Grader': 1, 'Tough grader': 1, 'Would take again': 1}",3.9,34,2.8,2.676
"CHOU, P.",Engineering,UC Irvine,{},3.1,N/,4.1,3.8415
"FAMIGLIETTI, C.",Mathematics,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 2, 'Accessible outside class': 2, 'Amazing lectures': 3, 'Amazing lectures ': 1, 'Caring': 3, 'Clear grading criteria': 2, 'Gives good feedback': 3, 'Lecture heavy': 1, 'Lots of homework': 1, 'Participation matters': 1, 'Respected': 3, ""Skip class? You won't pass."": 1, 'TEST HEAVY': 1, 'Test heavy': 1, 'Would take again': 1}",4.7,64,2.4,2.1275000000000004
"DABDUB, D.",Engineering,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 2, 'Accessible outside class': 1, 'Amazing lectures': 2, 'Caring': 4, 'GRADED BY FEW THINGS': 1, 'Gives good feedback': 1, 'Inspirational': 7, 'LOTS OF HOMEWORK': 1, 'Respected': 9, ""Skip class? You won't pass."": 5, 'Test heavy': 1, 'Tough Grader': 3, 'Tough grader': 3}",3.8,63,3.7,2.9658333333333338
"SNOW, D.",Social Science,UC Irvine,{},3.2,N/,2.5,2.78
"TOBIAS, D.",Chemistry,UC Irvine,"{'Amazing lectures': 2, 'Amazing lectures ': 1, 'Caring': 1, 'Get ready to read': 3, 'Hilarious': 1, 'Inspirational': 2, 'LECTURE HEAVY': 1, 'Respected': 4, ""Skip class? You won't pass."": 2}",3.7,75,3.1,3.4271428571428566
"FREEMAN, F.",Science,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Get ready to read': 4, 'LOTS OF HOMEWORK': 1, 'Participation matters': 2, 'Tests are tough': 1, 'Tough grader': 1, 'Would take again': 2}",2.5,29,2.9,3.0942857142857143
"FRANZ, M.",Computer Science,UC Irvine,"{'Accessible outside class': 3, 'Amazing lectures': 3, 'Amazing lectures ': 1, 'Caring': 3, 'Gives good feedback': 1, 'Graded by few things': 1, 'Group projects': 1, 'Inspirational': 4, 'Lecture heavy': 1, 'Respected': 3, 'Tough grader': 1}",3.6,84,3.8,3.88
"BERKELHAMER, R.",Biology,UC Irvine,{},2.9,N/,3.2,3.695
"BERKELHAMER, R.",University Studies,UC Irvine,{},3.8,N/,1.3,3.695
"BUOTE, D.",Physics,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Amazing lectures': 1, 'Caring': 1, 'Clear grading criteria': 1, 'GRADED BY FEW THINGS': 1, 'Get ready to read': 2, 'Gives good feedback': 1, 'LECTURE HEAVY': 2, 'Lecture heavy': 1, ""Skip class? You won't pass."": 3, 'TEST HEAVY': 2, 'Test heavy': 2, 'Tests are tough': 1, 'Tough grader': 2}",3.0,50,3.3,2.94
"ROSE, M.",Science,UC Irvine,"{'Amazing lectures ': 2, 'Get ready to read': 4, 'Graded by few things': 1, 'Hilarious': 1, 'LECTURE HEAVY': 1, 'Participation matters': 3, 'Respected': 3, ""Skip class? You won't pass."": 3, 'Test heavy': 1}",3.5,100,2.6,3.832027027027028
"ZHAO, H.",Mathematics,UC Irvine,{},2.3,N/,3.5,2.33
