name, department, school, tags, rating, take_again, difficulty
Michael Campbell,Mathematics,UC Irvine,"{'Clear grading criteria': 2, 'Get ready to read': 2, 'TEST HEAVY': 1, 'Test heavy': 1, 'Tough Grader': 1, 'Tough grader': 1}",3.1,0,3.3
Bob Moeller,Humanities,UC Irvine,"{'Amazing lectures ': 1, 'Beware of pop quizzes': 1, 'Inspirational': 1, 'Respected': 1, 'Would take again': 1}",4.2,N/,2.6
Vartkess A. Apkarian,Chemistry,UC Irvine,"{""Skip class? You won't pass."": 3, 'Test heavy': 2, 'Tough grader': 2}",2.9,40,3.9
Margaret Miles,Art History,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Clear grading criteria': 3, 'Get ready to read': 1, 'LECTURE HEAVY': 2, 'Lecture heavy': 1, 'Respected': 6, ""Skip class? You won't pass."": 2, 'TEST HEAVY': 1}",4.3,80,3.1
Amihai Glazer,Economics,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Caring': 1, 'EXTRA CREDIT': 1, 'GRADED BY FEW THINGS': 1, 'Get ready to read': 4, 'Gives good feedback': 1, 'Graded by few things': 2, 'Hilarious': 1, 'Lecture heavy': 2, 'Lots of homework': 1, ""Skip class? You won't pass."": 4, 'TEST HEAVY': 1, 'Test heavy': 2, 'Tough Grader': 1, 'Tough grader': 3}",2.3,0,3.4
William Molzon,Science,UC Irvine,"{'Accessible outside class': 3, 'Get ready to read': 5, 'Graded by few things': 6, 'Hilarious': 1, 'Lecture heavy': 5, 'Lots of homework': 2, 'Participation matters': 1, ""Skip class? You won't pass."": 3, 'Test heavy': 6, 'Tough grader': 4}",2.1,10,4
Peggy Hesketh,English,UC Irvine,"{'Get ready to read': 1, 'Gives good feedback': 2, 'Participation matters': 2, ""Skip class? You won't pass."": 2, 'Tough Grader': 2, 'Tough grader': 1, 'Would take again': 1}",3.3,0,3.8
Jeanett Castellanos,Social Science,UC Irvine,"{'Amazing lectures': 2, 'Amazing lectures ': 1, 'Get ready to read': 7, 'Inspirational': 4, 'LECTURE HEAVY': 1, 'LOTS OF HOMEWORK': 1, 'Lecture heavy': 1, 'Participation matters': 1, 'Respected': 3, ""Skip class? You won't pass."": 1, 'TEST HEAVY': 2}",3.6,58,3
Simin Shoari,Engineering,UC Irvine,{},3.1,N/,3.2
John Dombrink,Criminal Justice,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Caring': 1, 'Clear grading criteria': 2, 'GRADED BY FEW THINGS': 2, 'Get ready to read': 2, 'Hilarious': 1, 'Inspirational': 1, 'LECTURE HEAVY': 2, 'Lecture heavy': 1, 'Participation matters': 1, 'Respected': 3, 'TEST HEAVY': 1, 'Would take again': 1}",3.6,63,2.7
John Stupar,Engineering,UC Irvine,"{'Caring': 1, 'Gives good feedback': 1, 'Tough grader': 1}",4.8,N/,1.6
Tomas Lang,Engineering,UC Irvine,{},1.9,N/,4.6
Lawrence A. Howard,Psychology,UC Irvine,{},3.2,N/,2.4
Gary A. Chanan,Physics,UC Irvine,{},3.7,N/,3.4
Steven Topik,History,UC Irvine,"{'EXTRA CREDIT': 1, 'Get ready to read': 2, 'Gives good feedback': 1, 'Participation matters': 2, ""Skip class? You won't pass."": 2}",3.7,0,2.8
Ken Pomeranz,History,UC Irvine,{},3,N/,3
Caryl Margulies,Mathematics,UC Irvine,{},3.7,N/,2.3
Rina Dechter,Computer Science,UC Irvine,"{'EXTRA CREDIT': 2, 'Group projects': 2, 'Lots of homework': 2}",3,100,3.4
Robert C. Reilly,Mathematics,UC Irvine,{},2.3,N/,3.5
Henry Sobel,Physics,UC Irvine,"{'Get ready to read': 1, 'Lots of homework': 1, ""Skip class? You won't pass."": 1, 'Tests are tough': 1, 'Tough grader': 1}",3.6,N/,3.4
James Given,History,UC Irvine,{},3.2,N/,2.2
Kwei-Jay Lin,Engineering,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 2, 'Accessible outside class': 1, 'Amazing lectures': 1, 'Clear grading criteria': 1, 'Graded by few things': 3, 'Hilarious': 1, 'LECTURE HEAVY': 1, 'LOTS OF HOMEWORK': 2, 'Lecture heavy': 2, 'Lots of homework': 2, ""Skip class? You won't pass."": 1, 'Test heavy': 4}",3.1,17,3.2
Charles Otwell,Philosophy,UC Irvine,{},3.1,N/,2.8
Alison Brysk,Political Science,UC Irvine,"{'Beware of pop quizzes': 1, 'Get ready to read': 1, 'Inspirational': 1}",3.1,N/,2.1
Heather Dickinson-Anso,Biology,UC Irvine,{},4.4,N/,2.9
Joseph Kasof,Psychology,UC Irvine,{},3.6,N/,2.7
Brook Thomas,Humanities,UC Irvine,"{'Amazing lectures': 2, 'Amazing lectures ': 1, 'EXTRA CREDIT': 3, 'Get ready to read': 2, 'Inspirational': 1, 'Respected': 3, ""Skip class? You won't pass."": 1, 'Tough grader': 1}",4.3,100,2.7
Philip Minehan,History,UC Irvine,{},4.2,N/,3
Mark Petracca,Political Science,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Get ready to read': 2, 'LECTURE HEAVY': 2, 'Lecture heavy': 1, 'Participation matters': 1, 'SO MANY PAPERS': 1, 'Tough Grader': 1, 'Would take again': 1}",2.9,50,3.5
Nicholas Noviello,Social Science,UC Irvine,"{'Caring': 1, 'Clear grading criteria': 1, 'Get ready to read': 1, 'Hilarious': 1, 'Would take again': 1}",3,N/,1.9
Paul Jesilow,"Criminology, Law & Society",UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Caring': 1, 'Get ready to read': 2, 'Hilarious': 1, 'Participation matters': 1, 'SO MANY PAPERS': 1, 'Tough Grader': 1, 'Tough grader': 1, 'Would take again': 1}",3.9,34,2.8
Pai Chou,Engineering,UC Irvine,{},3.1,N/,4.1
Catherine Famiglietti,Mathematics,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 2, 'Accessible outside class': 2, 'Amazing lectures': 3, 'Amazing lectures ': 1, 'Caring': 3, 'Clear grading criteria': 2, 'Gives good feedback': 3, 'Lecture heavy': 1, 'Lots of homework': 1, 'Participation matters': 1, 'Respected': 3, ""Skip class? You won't pass."": 1, 'TEST HEAVY': 1, 'Test heavy': 1, 'Would take again': 1}",4.7,64,2.4
Donald Dabdub,Engineering,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 2, 'Accessible outside class': 1, 'Amazing lectures': 2, 'Caring': 4, 'GRADED BY FEW THINGS': 1, 'Gives good feedback': 1, 'Inspirational': 7, 'LOTS OF HOMEWORK': 1, 'Respected': 9, ""Skip class? You won't pass."": 5, 'Test heavy': 1, 'Tough Grader': 3, 'Tough grader': 3}",3.8,63,3.7
D Snow,Social Science,UC Irvine,{},3.2,N/,2.5
Douglas Tobias,Chemistry,UC Irvine,"{'Amazing lectures': 2, 'Amazing lectures ': 1, 'Caring': 1, 'Get ready to read': 3, 'Hilarious': 1, 'Inspirational': 2, 'LECTURE HEAVY': 1, 'Respected': 4, ""Skip class? You won't pass."": 2}",3.7,75,3.1
Fillmore Freeman,Science,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Get ready to read': 4, 'LOTS OF HOMEWORK': 1, 'Participation matters': 2, 'Tests are tough': 1, 'Tough grader': 1, 'Would take again': 2}",2.5,29,2.9
Jianjun Xu,Mathematics,UC Irvine,{},2.5,N/,2.7
Michael Franz,Computer Science,UC Irvine,"{'Accessible outside class': 3, 'Amazing lectures': 3, 'Amazing lectures ': 1, 'Caring': 3, 'Gives good feedback': 1, 'Graded by few things': 1, 'Group projects': 1, 'Inspirational': 4, 'Lecture heavy': 1, 'Respected': 3, 'Tough grader': 1}",3.6,84,3.8
Peter Rentzepis,Science,UC Irvine,"{'Accessible outside class': 2, 'Gives good feedback': 2, 'Respected': 2}",1.9,100,4.2
Rudi Berkelhamer,Biology,UC Irvine,{},2.9,N/,3.2
Timur Oikberg,Mathematics,UC Irvine,{},2.5,N/,3.8
Harold Koopowitz,Biology,UC Irvine,{},3.6,N/,2.9
Keith Bangs,Theater,UC Irvine,{},4.1,N/,2.2
David A. Buote,Physics,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Amazing lectures': 1, 'Caring': 1, 'Clear grading criteria': 1, 'GRADED BY FEW THINGS': 1, 'Get ready to read': 2, 'Gives good feedback': 1, 'LECTURE HEAVY': 2, 'Lecture heavy': 1, ""Skip class? You won't pass."": 3, 'TEST HEAVY': 2, 'Test heavy': 2, 'Tests are tough': 1, 'Tough grader': 2}",3,50,3.3
