name,department,school,rating,take_again,difficulty,avg_gpa,Clear grading criteria,Respected,Get ready to read,Skip class? You won't pass.,Tough grader,Accessible outside class,Graded by few things,Lecture heavy,Test heavy,Inspirational,Amazing lectures,Caring,Gives good feedback,Participation matters,Hilarious,Lots of homework
"CAMPBELL, M.",Mathematics,UC Irvine,3.1,0,3.3,2.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MILES, M.",Art History,UC Irvine,4.3,80,3.1,3.140625,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GLAZER, A.",Economics,UC Irvine,2.3,0,3.4,3.367142857142858,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0
"MOLZON, W.",Science,UC Irvine,2.1,10,4.0,2.9145762711864407,0,0,5,3,4,3,6,5,6,0,0,0,0,0,0,0
"CASTELLANOS, J.",Social Science,UC Irvine,3.6,58,3.0,3.357058823529412,0,3,7,0,0,0,0,0,0,4,0,0,0,0,0,0
"DOMBRINK, J.",Criminal Justice,UC Irvine,3.6,63,2.7,3.746486486486487,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STUPAR, J.",Engineering,UC Irvine,4.8,N/,1.6,3.464782608695653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TOPIK, S.",History,UC Irvine,3.7,0,2.8,2.8600000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOBEL, H.",Physics,UC Irvine,3.6,N/,3.4,2.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIN, K.",Engineering,UC Irvine,3.1,17,3.2,3.033,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0
"PETRACCA, M.",Political Science,UC Irvine,2.9,50,3.5,3.485357142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOVIELLO, N.",Social Science,UC Irvine,3.0,N/,1.9,2.473333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JESILOW, P.","Criminology, Law & Society",UC Irvine,3.9,34,2.8,2.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHOU, P.",Engineering,UC Irvine,3.1,N/,4.1,3.8415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAMIGLIETTI, C.",Mathematics,UC Irvine,4.7,64,2.4,2.1275000000000004,0,3,0,0,0,0,0,0,0,0,3,3,3,0,0,0
"DABDUB, D.",Engineering,UC Irvine,3.8,63,3.7,2.9658333333333338,0,9,0,5,3,0,0,0,0,7,0,4,0,0,0,0
"SNOW, D.",Social Science,UC Irvine,3.2,N/,2.5,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TOBIAS, D.",Chemistry,UC Irvine,3.7,75,3.1,3.4271428571428566,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"FREEMAN, F.",Science,UC Irvine,2.5,29,2.9,3.0942857142857143,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRANZ, M.",Computer Science,UC Irvine,3.6,84,3.8,3.88,0,3,0,0,0,3,0,0,0,4,3,3,0,0,0,0
