name,department,school,take_again,difficulty,avg_gpa,Clear grading criteria,Respected,Get ready to read,Skip class? You won't pass.,Tough grader,Accessible outside class,Graded by few things,Lecture heavy,Test heavy,Inspirational,Amazing lectures,Caring,Gives good feedback,Participation matters,Hilarious,Lots of homework,rating,score,total_tags
"WATKINS, C.",Writing,UC Irvine,100,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.3245673,0
"YOUSSEFPOUR, H.",Mathematics,UC Irvine,92,3.9,2.6090625000000003,5,6,0,0,4,3,0,5,0,0,0,3,0,0,3,0,5.3,5.2496076,29
"BOBIER, C.",Philosophy,UC Irvine,100,3.0,3.2325,3,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,5.0,5.182883,13
"SPERLING, G.",Psychology,UC Irvine,100,4.1,3.395,0,0,3,0,0,0,0,0,0,4,0,3,0,0,0,0,2.7,5.1473308,10
"SENATRO, L.",English,UC Irvine,100,3.0,3.538,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5.0,5.135935,9
"MUTHER, F.",Music,UC Irvine,100,1.0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.1315393,0
"LEWIN, K.",English,UC Irvine,100,3.3,3.042777777777778,6,4,0,0,0,4,0,0,0,3,4,6,14,3,5,4,5.0,5.1197667,53
"ROSENDAHL, C.",Writing,UC Irvine,100,3.0,3.647777777777778,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,5.0,5.113662,7
"HSIEH, R.",Languages,UC Irvine,100,3.0,3.498367346938775,4,3,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5.0,5.104883,15
"BROADBENT, P.",Humanities,UC Irvine,100,2.9,3.4818181818181824,4,4,0,0,0,4,0,0,0,6,0,0,13,8,10,0,5.1,5.094447,49
"SETTELL, J.",English,UC Irvine,100,3.5,3.3920000000000003,0,3,4,0,0,3,0,0,0,0,0,4,10,0,0,0,5.0,5.076743,24
"NIEMAN, J.",English,UC Irvine,100,3.0,3.297857142857143,7,4,0,0,0,10,0,0,0,3,0,15,16,0,0,0,5.0,5.0645266,55
"JACKSON, J.",Art,UC Irvine,100,5.0,3.8929213483146072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.061085,0
"HYATT, J.",Writing,UC Irvine,100,3.0,3.648333333333333,0,0,3,0,0,5,0,0,0,0,0,5,8,3,0,0,5.0,5.060158,24
"MARTINO, N.",Writing,UC Irvine,100,3.0,3.8483333333333327,0,0,0,0,0,4,0,0,0,0,0,3,4,0,0,0,5.0,5.055285,11
"YOUNG, E.",Education,UC Irvine,100,5.0,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0551085,0
"GUERRA, A.",Physics,UC Irvine,87,3.9,2.80975,3,7,0,0,0,4,0,0,9,0,3,5,3,0,4,0,5.0,5.052994,38
"EASON, K.",Writing,UC Irvine,100,3.0,3.132941176470588,0,0,0,0,0,0,0,0,0,4,0,4,7,0,4,0,5.0,5.04892,19
